,,amount,amount,no_of_donors,no_of_donors
,,sum,mean,sum,mean
CAUCA,CORINTO,20000000.0,20000000.0,1,1.0
CAUCA,EL TAMBO,22100000.0,22100000.0,8,8.0
CAUCA,GUACHENE,74570000.0,37285000.0,8,4.0
CAUCA,GUAPI,96008000.0,19201600.0,13,2.6
CAUCA,INZA,36800000.0,18400000.0,5,2.5
CAUCA,JAMBALO,42230000.0,21115000.0,9,4.5
CAUCA,LA SIERRA,18200000.0,9100000.0,2,1.0
CAUCA,LOPEZ (MICAY),81489125.0,40744562.5,11,5.5
CAUCA,MERCADERES,300000.0,300000.0,1,1.0
CAUCA,MIRANDA,172480000.0,86240000.0,6,3.0
CAUCA,MORALES,30000000.0,30000000.0,3,3.0
CAUCA,PADILLA,56800000.0,18933333.333333332,9,3.0
CAUCA,PATIA (EL BORDO),74000000.0,37000000.0,5,2.5
CAUCA,PIAMONTE,33900000.0,16950000.0,3,1.5
CAUCA,POPAYAN,56783560.0,18927853.333333332,26,8.666666666666666
CAUCA,PUERTO TEJADA,61550000.0,12310000.0,14,2.8
CAUCA,PURACE (COCONUCO),24600000.0,24600000.0,5,5.0
CAUCA,SANTA ROSA,11000000.0,5500000.0,2,1.0
CAUCA,SANTANDER DE QUILICHAO,76900000.0,38450000.0,12,6.0
CAUCA,SILVIA,194573400.0,48643350.0,30,7.5
CAUCA,SOTARA (PAISPAMBA),70000000.0,35000000.0,4,2.0
CAUCA,TIMBIO,9000000.0,9000000.0,1,1.0
CAUCA,TIMBIQUI,17200000.0,8600000.0,2,1.0
CAUCA,TORIBIO,5000000.0,5000000.0,1,1.0
CAUCA,TOTORO,9000000.0,9000000.0,1,1.0
CAUCA,VILLA RICA,87600000.0,43800000.0,6,3.0
CESAR,AGUACHICA,481270000.0,96254000.0,25,5.0
CESAR,BECERRIL,18500000.0,18500000.0,2,2.0
CESAR,CHIRIGUANA,72000000.0,36000000.0,8,4.0
CESAR,CURUMANI,17000000.0,17000000.0,2,2.0
CESAR,EL COPEY,13000000.0,13000000.0,2,2.0
CESAR,EL PASO,58600000.0,58600000.0,7,7.0
CESAR,GONZALEZ,100000.0,100000.0,1,1.0
CESAR,LA GLORIA,9000000.0,9000000.0,1,1.0
CESAR,LA JAGUA DE IBIRICO,76200000.0,25400000.0,4,1.3333333333333333
CESAR,PUEBLO BELLO,3000000.0,3000000.0,1,1.0
CESAR,RIO DE ORO,21350000.0,7116666.666666667,13,4.333333333333333
CESAR,SAN ALBERTO,26300000.0,26300000.0,6,6.0
CESAR,SAN DIEGO,26000000.0,13000000.0,4,2.0
CESAR,SAN MARTIN,12328000.0,4109333.3333333335,3,1.0
CESAR,TAMALAMEQUE,22950000.0,11475000.0,5,2.5
CESAR,VALLEDUPAR,1525637221.0,217948174.42857143,42,6.0
CHOCO,ACANDI,54900000.0,27450000.0,11,5.5
CHOCO,ALTO BAUDO (PIE DE PATO),25500000.0,25500000.0,3,3.0
CHOCO,ATRATO (YUTO),19060000.0,19060000.0,3,3.0
CHOCO,BAGADO,23000000.0,11500000.0,3,1.5
CHOCO,BAHIA SOLANO (MUTIS),48000000.0,24000000.0,11,5.5
CHOCO,BOJAYA (BELLAVISTA),113025000.0,37675000.0,10,3.3333333333333335
CHOCO,CARMEN DEL DARIEN,75100000.0,25033333.333333332,8,2.6666666666666665
CHOCO,CERTEGUI,30000000.0,30000000.0,4,4.0
CHOCO,CONDOTO,66830000.0,33415000.0,12,6.0
CHOCO,EL CANTON DEL SAN PABLO (MAN.,15250000.0,15250000.0,1,1.0
CHOCO,EL CARMEN,9000000.0,4500000.0,4,2.0
CHOCO,EL LITORAL DEL SAN JUAN,64500000.0,32250000.0,9,4.5
CHOCO,JURADO,135900000.0,67950000.0,29,14.5
CHOCO,LLORO,25850000.0,12925000.0,4,2.0
CHOCO,MEDIO ATRATO (BETE),61200000.0,61200000.0,8,8.0
CHOCO,MEDIO SAN JUAN,83685747.0,41842873.5,11,5.5
CHOCO,NOVITA,2400000.0,2400000.0,1,1.0
CHOCO,NUQUI,9000000.0,9000000.0,1,1.0
CHOCO,QUIBDO,55798000.0,27899000.0,4,2.0
CHOCO,RIO IRO,2000000.0,2000000.0,1,1.0
CHOCO,RIO QUITO (PAIMADO),31000000.0,31000000.0,6,6.0
CHOCO,RIOSUCIO,64158800.0,21386266.666666668,11,3.6666666666666665
CHOCO,SIPI,10500000.0,10500000.0,2,2.0
CHOCO,TADO,9000000.0,9000000.0,1,1.0
CHOCO,UNGUIA,10000000.0,10000000.0,3,3.0
CHOCO,UNION PANAMERICANA (LAS ANIMAS),23250000.0,11625000.0,3,1.5
CORDOBA,AYAPEL,20100000.0,10050000.0,3,1.5
CORDOBA,CANALETE,36000000.0,36000000.0,4,4.0
CORDOBA,CERETE,463000000.0,154333333.33333334,13,4.333333333333333
CORDOBA,CHIMA,18000000.0,18000000.0,2,2.0
CORDOBA,CHINU,10000000.0,5000000.0,2,1.0
CORDOBA,CIENAGA DE ORO,57000000.0,57000000.0,4,4.0
CORDOBA,COTORRA (BONGO),20000000.0,10000000.0,3,1.5
CORDOBA,LA APARTADA (FRONTERA),16000000.0,16000000.0,2,2.0
CORDOBA,LORICA,20000000.0,20000000.0,1,1.0
CORDOBA,LOS CORDOBAS,5000000.0,5000000.0,1,1.0
CORDOBA,MONTELIBANO,100000.0,100000.0,1,1.0
CORDOBA,MONTERIA,1012763695.1700001,202552739.034,33,6.6
CORDOBA,MOÑITOS,23500000.0,23500000.0,3,3.0
CORDOBA,PLANETA RICA,70900000.0,35450000.0,10,5.0
CORDOBA,PUERTO ESCONDIDO,82820000.0,27606666.666666668,5,1.6666666666666667
CORDOBA,SAHAGUN,45000000.0,45000000.0,1,1.0
CORDOBA,SAN ANDRES DE SOTAVENTO,175000000.0,87500000.0,9,4.5
CORDOBA,SAN ANTERO,8600000.0,8600000.0,1,1.0
CORDOBA,SAN BERNARDO DEL VIENTO,100900000.0,50450000.0,11,5.5
CORDOBA,SAN CARLOS,56000000.0,28000000.0,4,2.0
CORDOBA,SAN JOSE DE URE,11000000.0,5500000.0,5,2.5
CORDOBA,SAN PELAYO,6000000.0,6000000.0,6,6.0
CORDOBA,TIERRALTA,57318300.0,57318300.0,4,4.0
CORDOBA,VALENCIA,70809000.0,23603000.0,5,1.6666666666666667
CUNDINAMARCA,AGUA DE DIOS,40000000.0,20000000.0,3,1.5
CUNDINAMARCA,ALBAN,29500000.0,14750000.0,5,2.5
CUNDINAMARCA,ANAPOIMA,10180000.0,10180000.0,63,63.0
CUNDINAMARCA,ANOLAIMA,20359000.0,10179500.0,6,3.0
CUNDINAMARCA,APULO,6800000.0,6800000.0,4,4.0
CUNDINAMARCA,ARBELAEZ,7900000.0,3950000.0,5,2.5
CUNDINAMARCA,BOJACA,21375000.0,21375000.0,19,19.0
CUNDINAMARCA,CAJICA,259007588.0,43167931.333333336,47,7.833333333333333
CUNDINAMARCA,CAPARRAPI,22100000.0,7366666.666666667,7,2.3333333333333335
CUNDINAMARCA,CAQUEZA,8200000.0,4100000.0,3,1.5
CUNDINAMARCA,CHAGUANI,44256300.0,22128150.0,14,7.0
CUNDINAMARCA,CHIA,120850000.0,30212500.0,7,1.75
CUNDINAMARCA,CHIPAQUE,22800000.0,22800000.0,4,4.0
CUNDINAMARCA,CHOACHI,9300000.0,9300000.0,5,5.0
CUNDINAMARCA,CHOCONTA,6000000.0,6000000.0,2,2.0
CUNDINAMARCA,COTA,21400000.0,10700000.0,5,2.5
CUNDINAMARCA,CUCUNUBA,6000000.0,3000000.0,3,1.5
CUNDINAMARCA,EL COLEGIO,21950000.0,7316666.666666667,20,6.666666666666667
CUNDINAMARCA,EL PEÑON,6000000.0,6000000.0,2,2.0
CUNDINAMARCA,EL ROSAL,8358000.0,4179000.0,5,2.5
CUNDINAMARCA,FACATATIVA,511081368.0,102216273.6,38,7.6
CUNDINAMARCA,FOMEQUE,1850000.0,1850000.0,1,1.0
CUNDINAMARCA,FOSCA,3000000.0,3000000.0,1,1.0
CUNDINAMARCA,FUNZA,83550000.0,83550000.0,12,12.0
CUNDINAMARCA,FUQUENE,2482524.0,1241262.0,5,2.5
CUNDINAMARCA,FUSAGASUGA,133410031.44,33352507.86,38,9.5
CUNDINAMARCA,GACHALA,84000000.0,84000000.0,5,5.0
CUNDINAMARCA,GACHANCIPA,90000000.0,45000000.0,7,3.5
