corp,dpto,name,party,wp_no
Asamblea,CHOCO,WILSON PACHECO RENTERIA MOSQUERA,PARTIDO ALIANZA VERDE,900
Asamblea,CHOCO,YAHIR ANDRES LOPEZ GIRON,PARTIDO COLOMBIA JUSTA LIBRES,849
Asamblea,CHOCO,YAKELINE  PALACIOS ASPRILLA,PARTIDO CAMBIO RADICAL,888
Asamblea,CHOCO,YAMIL EULICES TIPTON CHAVERRA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,922
Asamblea,CHOCO,YENNY PATRICIA VALDERRAMA FERNANDEZ,PARTIDO ALIANZA VERDE,897
Asamblea,CHOCO,YIMY LEITER AGUILAR MOSQUERA,PARTIDO ALIANZA VERDE,893
Asamblea,CHOCO,YINELDA  FORASTERO SABUGARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,835
Asamblea,CHOCO,YOHANA  ASPRILLA POTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,909
Asamblea,CHOCO,YOMAIRA  CORDOBA VALENCIA,PARTIDO ADA,864
Asamblea,CHOCO,YULIANA  MOSQUERA ASPRILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,912
Asamblea,CHOCO,YULIER  PALACIO SALAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,914
Asamblea,CHOCO,YUSSELFFY SUREYI CAMPAÑA PALACIOS,PARTIDO CONSERVADOR COLOMBIANO,873
