corp,dpto,name,party,wp_no
Asamblea,CUNDINAMARCA,PEDRO DAVID GALLEGO HERRERA,PARTIDO COLOMBIA RENACIENTE,747
Asamblea,CUNDINAMARCA,PLUTARCO  RODRIGUEZ ROJAS,PARTIDO LIBERAL COLOMBIANO,701
Asamblea,CUNDINAMARCA,RAUL ALBERTO APONTE VARGAS,PARTIDO COLOMBIA RENACIENTE,741
Asamblea,CUNDINAMARCA,ROBERTO ENRIQUE QUIJANO BOLIVAR,PARTIDO CAMBIO RADICAL,754
Asamblea,CUNDINAMARCA,ROGER EFRAIN ORTIZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,716
Asamblea,CUNDINAMARCA,ROSA MARIA LAVERDE AFRICANO,PARTIDO LIBERAL COLOMBIANO,708
Asamblea,CUNDINAMARCA,ROSARIO  DEVIA ARDILA,PARTIDO COLOMBIA JUSTA LIBRES,732
Asamblea,CUNDINAMARCA,RUBIELA CONSUELO PALOMO TORRES,PARTIDO LIBERAL COLOMBIANO,706
Asamblea,CUNDINAMARCA,SANDRA LILIANA CASTILLO ARIZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,786
Asamblea,CUNDINAMARCA,SANDRA MILLADY RIVEROS BARBOSA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,787
Asamblea,CUNDINAMARCA,SAULO  NAVAS BARRETO,PARTIDO CENTRO DEMOCRATICO,723
Asamblea,CUNDINAMARCA,SERGIO IVAN GOMEZ ALDANA,PARTIDO COLOMBIA RENACIENTE,745
Asamblea,CUNDINAMARCA,SONIA LIZETH LOMBANA AMORTEGUI,PARTIDO LIBERAL COLOMBIANO,699
Asamblea,CUNDINAMARCA,TITO SAMUEL VALDERRAMA UBAQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,785
Asamblea,CUNDINAMARCA,VICTOR JULIAN SANCHEZ ACOSTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,801
Asamblea,CUNDINAMARCA,VICTOR MANUEL BARAHONA ARIZA,PARTIDO CAMBIO RADICAL,765
Asamblea,CUNDINAMARCA,WENDY TATIANA ALVAREZ GUEVARA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,789
Asamblea,CUNDINAMARCA,YAMILED MARIA CADENA OLAYA,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,809
Asamblea,CUNDINAMARCA,YECYD ALFONSO PARDO VILLALBA,PARTIDO ALIANZA VERDE,772
Asamblea,CUNDINAMARCA,YISELL AMPARO HERNANDEZ SANDOVAL,PARTIDO CENTRO DEMOCRATICO,712
Asamblea,CUNDINAMARCA,YORLY LILIANA GARCIA BUSTAMANTE,CUNDINAMARCA HUMANA Y ALTERNATIVA,818
